{'profileIconId': 16, 'summonerLevel': 30, 'revisionDate': 1416645924000L, 'id': 75976, 'name': 'GreatWeelo'} 'mostUsedChampion': Swain  'mostUsedChampion': Swain  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 579, 'summonerLevel': 30, 'revisionDate': 1415546537000L, 'id': 2927, 'name': 'Alphariter'} 'mostUsedChampion': Swain  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 662, 'summonerLevel': 30, 'revisionDate': 1417311399000L, 'id': 6205, 'name': 'mindspin'} 'mostUsedChampion': Swain  'mostUsedChampion': Swain  'mostUsedChampion': Swain  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 3, 'summonerLevel': 30, 'revisionDate': 1417238739000L, 'id': 6167, 'name': 'InternetToughGuy'} 'mostUsedChampion': Swain  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 666, 'summonerLevel': 30, 'revisionDate': 1411101394000L, 'id': 5123, 'name': 'Renzor'} 'mostUsedChampion': Swain  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 13, 'summonerLevel': 30, 'revisionDate': 1416992580000L, 'id': 6305, 'name': 'Chemical'} 'mostUsedChampion': Swain  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 508, 'summonerLevel': 30, 'revisionDate': 1417395820000L, 'id': 36225, 'name': 'Les Mort'} 'mostUsedChampion': Swain  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 710, 'summonerLevel': 30, 'revisionDate': 1416716688000L, 'id': 6365, 'name': 'Stoph'} 'mostUsedChampion': XinZhao  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 712, 'summonerLevel': 30, 'revisionDate': 1416758349000L, 'id': 59635, 'name': 'Slym'} 'mostUsedChampion': XinZhao  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 575, 'summonerLevel': 30, 'revisionDate': 1412335884000L, 'id': 88092, 'name': 'Mortifier'} 'mostUsedChampion': Tryndamere  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 688, 'summonerLevel': 30, 'revisionDate': 1416749437000L, 'id': 29633, 'name': 'apdastous'} 'mostUsedChampion': Tryndamere  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 607, 'summonerLevel': 30, 'revisionDate': 1412808588000L, 'id': 7662, 'name': 'Chives'} 'mostUsedChampion': Tryndamere  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1417395965000L, 'id': 20140, 'name': 'NorthKorean'} 'mostUsedChampion': Tristana  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1417338949000L, 'id': 8205, 'name': 'TweiT LovE'} 'mostUsedChampion': Tristana  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 502, 'summonerLevel': 30, 'revisionDate': 1408350228000L, 'id': 2575, 'name': 'Draezel'} 'mostUsedChampion': MasterYi  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1409407697000L, 'id': 4480, 'name': 'Skootz'} 'mostUsedChampion': Morgana  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 23, 'summonerLevel': 30, 'revisionDate': 1407706562000L, 'id': 80217, 'name': 'Brohoob'} 'mostUsedChampion': Morgana  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Swain 
{'profileIconId': 662, 'summonerLevel': 30, 'revisionDate': 1417211351000L, 'id': 545086, 'name': 'KokoSV'} 'mostUsedChampion': Morgana  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Swain 
{'profileIconId': 613, 'summonerLevel': 30, 'revisionDate': 1417333484000L, 'id': 5725, 'name': 'HKG Rito Cop'} 'mostUsedChampion': Riven  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Swain 
{'profileIconId': 6, 'summonerLevel': 30, 'revisionDate': 1417380814000L, 'id': 8421, 'name': 'UnsealedPants'} 'mostUsedChampion': Riven  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Swain 
{'profileIconId': 660, 'summonerLevel': 30, 'revisionDate': 1417411222000L, 'id': 606989, 'name': 'Sonika'} 'mostUsedChampion': Swain  'mostUsedChampion': Swain  'mostUsedChampion': Swain 
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1397892494000L, 'id': 527003, 'name': 'n1ghth4wkk'} 'mostUsedChampion': Swain  'mostUsedChampion': Swain  'mostUsedChampion': Swain 
{'profileIconId': 688, 'summonerLevel': 30, 'revisionDate': 1414412132000L, 'id': 8172, 'name': 'fourtwoZero'} 'mostUsedChampion': Swain  'mostUsedChampion': Swain  'mostUsedChampion': Swain 
