{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1416917783000L, 'id': 83156, 'name': 'Nenzar'} 'mostUsedChampion': Jax  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Jax 
{'profileIconId': 734, 'summonerLevel': 30, 'revisionDate': 1416962119000L, 'id': 24532, 'name': 'Boreas'} 'mostUsedChampion': Tristana  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Tristana 
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1411828699000L, 'id': 5765, 'name': 'Cid'} 'mostUsedChampion': Tristana  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1414590482000L, 'id': 80732, 'name': 'Spec322'} 'mostUsedChampion': Ezreal  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 26, 'summonerLevel': 30, 'revisionDate': 1415788457000L, 'id': 8353, 'name': 'Eleint'} 'mostUsedChampion': Vladimir  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 607, 'summonerLevel': 30, 'revisionDate': 1411459468000L, 'id': 7401, 'name': 'SolEater'} 'mostUsedChampion': Vladimir  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1415012061000L, 'id': 3869, 'name': 'Lyte'} 'mostUsedChampion': Vladimir  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 709, 'summonerLevel': 30, 'revisionDate': 1415845749000L, 'id': 39417, 'name': 'damitdang'} 'mostUsedChampion': Vladimir  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 710, 'summonerLevel': 30, 'revisionDate': 1416067681000L, 'id': 4769, 'name': 'Greeeek'} 'mostUsedChampion': Vladimir  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 606, 'summonerLevel': 30, 'revisionDate': 1404384478000L, 'id': 48228, 'name': 'moondro'} 'mostUsedChampion': Vladimir  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
